,entity1,entity_1_type,entity2,entity_2_type,relation,sentence
1825,Glass compass,compass,Compass,navigational instrument,subclass of,A compass is usually a small box with a glass cover on it
1826,Magnetism,physical phenomenon,Rotation,motion,has effect,A magnetised needle is pivoted inside the box which can rotate freely Fig
1827,Clock dial,machine element,Compass,navigational instrument,part of,The compass also has a dial Fig
1828,Compass,navigational instrument,Navigation,skill,use,10 A compass In which direction is the main gate of your school situated from your classroom 2022 23 131 FUN WITH MAGNETS with directions marked on it
1829,Directing compass,navigational instrument,Compass,navigational instrument,subclass of,The compass is kept at the place where we wish to know the directions
1830,North Pole,geographic location,Magnetic needle,type of quantum particle,named after,To identify the north pole of the magnetic needle it is usually painted in a dif ferent colour
1831,4 MAKE YOUR OWN MAGNET,magnet,Magnet,material,subclass of,4 MAKE YOUR OWN MAGNET There are several methods of making magnets
1832,Simplest one,natural number,Natural number,integer sequence,instance of,Let us learn the simplest one
1834,Pole (magnetism),type of quantum particle,Magnet,material,part of,Remember that the pole of the magnet and the direction of its movement should not change
1836,Water tub,bathtub,Bowl,container,subclass of,Let the cork float in water in a bowl or a tub
1837,Medical needle,tool,Pharmacy,academic major,use,Make sure that the needle does not touch the water Fig
1838,Cork (textile),painting material,Sewing,activity,use,Make a note of the direction in which the needle points when the cork is floating
1839,Sewing needle,tool,Rotation,motion,use,Rotate the cork with the needle fixed in it in different directions
1840,Cork,plant material,Cork (material),plant material,made from material,Note the direction in which the needle points when the cork begins to float again without rotating
1841,Cork (cork),plant material,Rotating needle,tool,use,Does the needle always point in the same direction when the cork stops rotating 13
1842,Car,motor vehicle,Toy,product,subclass of,Take two small toy cars and label them A and B
1843,12 compass in a cup Fig,None,Compass,navigational instrument,instance of,12 A compass in a cup Fig
1844,SCIENCE Fig,sculpture,Magnet,material,depicts,11 Making your own magnet 2022 23 132 SCIENCE Fig
1845,A (automobile),motor car,B (automobile),motor car,opposite of,In car A keep the south pole of the magnet towards its front
1846,Bicycle,motor car,Car,motor vehicle,subclass of,Place the magnet in opposite direction in car B
1847,Car A,toy car,Car B,toy car,opposite of,Now place the toy cars close to each other such that the rear side of car A faces the front side of car B Fig 13
1848,Do they move as before,None,Car,motor vehicle,facet of,Do they move as before Note the direction in which the cars move now
1849,R ear,anatomical structure,Car,motor vehicle,part of,Repeat the activity by placing carswith their r ear sides facing each other
1850,Binckham Medal,award,Royal Geographical Society,charitable organization,conferred by,Record your observations in each case
1851,15 Magnets lose their property on heating hammering and droping,None,Boojho,human,owned by,15 Magnets lose their property on heating hammering and droping Boojho has this question for you
1852,Magnet,tool,Hammer,tool,made from material,3 s r a c e h t f o n o i t i s o Pe h t o d w o H e v o m s r a c s d r a w o t e v o M m o r f y a w a r e h t o h c a e l l a t a e v o m t o n g n i c a f A r a c f o t n o r F B r a c f o t n o r f e h t g n i c a f A r a c f o r a e R B r a c f o t n o r f e h t d n i h e b d e c a l p A r a C B r a c g n i c a f B r a c f o r a e R A r a c f o r a e rA Few Cautions Magnets loose their properties if they are heated hammered or dropped from some height Fig
1853,Magnetism,physical phenomenon,Magnet,material,uses,Also magnets become weak if they are not stored properly
1854,Barcelona,big city,Paris,commune of France,twinned administrative body,To keep them safe bar Fig
1855,Repulsion between similar poles,None,Fig. 14,group,part of,14 Repulsion between similar poles C D Fig
1856,Magnetite,mineral species,Magnet,material,subclass of,13 Do opposite poles attract each other A B 2022 23 133 FUN WITH MAGNETS s s a p m o C t e n g a M e t i t e n g a M e l o p h t r o N e l o p h t u o S square6Magnetite is a natural magnet
1857,Iron,medication,Nickel,material,made from material, square6Magnet attracts materials like iron nickel cobalt
1858,Magnetic material,material,Material,product,subclass of,These are called magnetic materials
1859,Non magnetic materials,material,Magnet,material,opposite of, square6Materials that are not attracted towards magnet are called non magnetic
1860,Magnet,material,Magnetic pole,type of quantum particle,has parts of the class, square6Each magnet has two magnetic polesﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽNorth and
1861,Square6A,magnet,Magnet,material,subclass of, square6A freely suspended magnet always aligns in N S direction
1862,Magnetism,physical phenomenon,Opposite of magnetism,physical phenomenon,opposite of, square6Opposite poles of two magnets attract each other whereas similar poles repel one another
1863,16 Store your magnets safely,None,Magnet,material,facet of,16 Store your magnets safely magnets should be kept in pairs with their unlike poles on the same side
1864,Horse shoe,shoe,Iron,medication,made from material,For horse shoe magnet one should keep a piece of iron across the poles
1866,Navigation,skill,Sailor,profession,practiced by, iv In olden days sailors used to find direction by suspending a piece of 
1867,Artificial magnet,type of magnets,Greece,sovereign state,discoverer or inventor, ii Artificial magnets were discovered in Greece
1868,Magnet pole,type of quantum particle,Magnet,material,part of, iii Similar poles of a magnet r epel each other
1869,Maximum iron filings,None,Bar magnet,magnet,part of, iv Maximum iron filings stick in the middle of a bar magnet when it is brought near them
1870,Rubber,plant material,Magnetic element,material,subclass of, vii Rubber is a magnetic material
1871,Pole (magnetism),type of quantum particle,Magnet,material,opposite of,It was observed that a pencil sharpener gets attracted by both the poles of a magnet although its body is made of plastic
1872,Wood,material,Material,product,subclass of,Name a material that might have been used to make some part of it
1873,Column,chart,R esulting,chart,part of,Column II indicates the r esulting action between them for each situation
1874,Pr-operation,operator,Magnet,material,facet of,Write any two pr operties of a magnet
1875,North Pole,geographic region,Pole,geographic location,instance of,How would you find out near which end is its north pole located 8
1876,Ir,Latin phrase,Latin phrase,language device,part of,You ar e given an ir on strip
1878,Note book,literary genre,Note (philosophy),literary genre,use,Note what happens and write your observations in your note book
1879,Intelligent doll,doll,Doll,toy,subclass of,You can make an intelligent doll which picks up the things it likes Fig
1880,Doll,toy,Magnet,material,uses,Take a doll and attach a small magnet in one of its hands
1881,Gloves,protective clothing,Hand,cardinal body part,use,Cover this hand with small gloves so that the magnet is not visible
1882,Doll,toy,Toy,product,subclass of,Ask your friends to bring different objects near the doll s hand
1884,Water tub,bathtub,Water,None,contains,been floating in water in a tub
1885,Column I,None,Affect (physics),None,part of,Affect observed in each case is stated in Column I
1886,Column II,column,Possible reasons for the observed affects,None,part of,Possible reasons for the observed affects are mentioned in Column II
1887,Gulliver's Travels,written work,Laputa,island)]",narrative location,17 An intelligent doll THINGS TO READ ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽGulliver s Travelsﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ which has this fantasy of the whole island of Laputa flo
1888,Science,academic discipline,Water,None,studies,Could magnets be involved 2022 23 136 SCIENCE 14 Water Suppose for some reason your family gets only one bucket of water everyday for a week
1889,Bathing,activity,Water,None,uses,Imagine what would happen W ould you be able to cook clean utensils wash clothes or bathe What are the other activities you would not be able to do What would happen if we do not have easy access to water for a long period of time Apart from drinking there are so many activities for which we use water Fig
1890,Water,None,Human activity,activity,part of,Do you have an idea about the quantity of water we use in a single day each activity by you and other family members
1891,Mug,container,Container,tool,subclass of,Y ou may use a mug a glass a bucket or any other container to measure the amount of water used
1892,1 HOW MUCH WATER DO WE USE Activity 1,None,Physical activity,human activity,facet of,1 HOW MUCH WATER DO WE USE Activity 1 List all the activities for which you use water in a day
1893,Table (illustrator),writing implement,Notebook,literary genre,use,Make a similar table in your notebook
1894,Table 14,table,Water,None,depicts,Throughout the day measure the amount of water used forTable 14
1895,Water,None,Personal hygiene,preventive medicine,use,Can you estimate the amount of water used by you for personal cleanliness in a day
1896,Water,None,Year,UCUM derived unit,part of,Using this information calculate the amount of water needed by your family in a year
1897,Family,group of humans,Social group,group of humans,instance of,Now divide this amount by the number of members of your family
1898,Year,UCUM derived unit,Water,None,measured physical quantity,This will give an idea of the amount of water needed by one member of your family in a year
1899,Village,human settlement,Town,human settlement,part of,Find the number of people that live in your village or town
1901,Fiber,material,Textile,product,use,W e know that some of the fibres that we use for making fabric come from plants
1902,Water,None,Water industry,industry,use,So we need water not only for our daily activities but also for producing many things
1903,Spring (hydrology),body of water,Water,None,subclass of,water fr om a river spring pond well or a hand pumpﾃδεつｯ ﾃδづつｽ
1904,Lake,landform,River,natural watercourse,part of,Have you ever wondered where water in the taps comes from W ater that we get fr om taps is also drawn from a lake or a river or a well Fig
1905,Pipe,architectural structure,Water supply,architectural structure,use,It is then supplied through a network of pipes
1906,Borewell,well,Well,architectural structure,subclass of,2 Water in taps comes fr om rivers lakes borewell or wellsBoojho wonders whether people living in different regions of our country get the same amount of water
1907,Village,human settlement,Town,human settlement,subclass of,Are ther e regions wher e people do not get adequate amount of water How do they manage You may now get an idea of the amount of water needed by your village or town in a year
1908,Book,document,Water,None,made from material,Paheli wants to tell you that about two glasses of water are required to produce each page of a book
1909,Day 14,point in time with respect to recurrent timeframe,Day,UCUM derived unit,part of,W ould you use the same amount of water as on any other day 14
1910,Sea,geographic location,Ocean,body of water,part of,2 WHERE DO WE GET WATER FROM Where do you get the water that you use Some of you may say ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽW e draw 2022 23 138 SCIENCE Do you know that about two thirds of the Earth is covered with water Most of this water is in oceans and sea
1912,ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ Rime of the Ancient Mariner,literary work,Poetry,literary work,instance of,Y ou might have hear d the famous lines of the poem ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ Rime of the Ancient Mariner ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ 
1913,Water water every wher e Nor any drop to drink,poem,"Alfred, Lord Coleridge",human,author,Coleridge in 1798 ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽWater water every wher e Nor any drop to drinkﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ Here the poet has described the plight of sailors on a ship lost 
1914,Japan,sovereign state,Tokyo,city,contains administrative territorial entity,Many of us live in places far away from the oceans
1915,Salt,mixture,Water vapor,None,different from,We also r ealise fr om this activity that water vapour does not carry away the salt with it
1916,Atmosphere of Earth,atmosphere,Vapor,fluid,made from material,W ater vapours so formed become a part of the air and cannot usually be seen
1917,Ocean,body of water,Earth,inner planet,part of,3 Oceans cover a major part of the earth Fig
1918,3 W ATER CYCLE Disappearing T rick of W ater,CYCLE,CYCLE,cyclic process,instance of,3 W ATER CYCLE Disappearing T rick of W ater How many times have you noticed that water spilled on a floor dries up after some time The water seems to disappear
1919,Clothing,work,Water,None,made from material,Similarly water disappears from wet clothes as they dry up Fig
1920,Salt water,aqueous solution,Sea,geographic location,part of,W e also discussed in Chapter 5 that to obtain salt water from the sea is left in shallow pits to let the water evaporat e
1921,Evaporation,phase change,Heat,physical quantity,has effect,From where does this water get the heat it needs to evaporate Let us find out
1922,Take two similar plates,None,Activity 2,None,part of,Activity 2 Take two similar plates
1923,Water,None,Plate tectonics,theory,part of,Now pour equal amount of water in each of the plates Fig
1924,Spillover,flood,Water,None,subclass of,Make sur e that water does not spill over
1925,Earth,inner planet,Sun,G-type main-sequence star,parent astronomical body,Observe the two plates after every 15 minutes
1926,Field,territorial entity,Land,territorial entity,part of,The fields and other land areas also receive sunlight
1927,Shade,shade,Sunlight,light,opposite of,In Activity 2 did you find that water also disappeared from the plate kept inthe shade though it could have taken more time Does the heat from the sunlight r each her e Yes during the daytime all the air surrounding us gets heated
1928,Evaporation,phase change,Water,None,follows,Thus evaporation takes place from all open surfaces of water
1929,Evaporation,phase change,Phase change,change,subclass of,However evaporation of water is a slow process
1930,Bucket,container,Water,None,contains,That is why we rarely notice its loss fr om a bucket full of water
1931,Solar evaporation,process,Sunlight,light,facet of,In sunlight evaporation takes place faster
1932,Bur ner,container,Water,None,contains,On heating water on a bur ner its evaporation takes place even faster
1933,Plant,taxon,Water,None,uses,Is there any other process through which water vapour gets transferred into air Loss of W ater by Plants You have lear nt in Chapter 7 that plants need water to grow
1934,Litre,UCUM derived unit,Water,None,measured physical quantity,He asked himself how much water is lost through transpiration by wheat plants that give us one kilogram of wheat He found out that this is nearly 500 litres that is roughly 25 large sized buckets full of water
1935,Transpiration,biological process,Evaporation,phase change,subclass of,Do you remember observing transpiration of water by plants in Activity 4 in Chapter 7 Water vapour enters the air through the processes of evaporation and transpiration
1936,How are clouds formed Activity 3,None,Activity 3,None,facet of,How are clouds formed Activity 3 Take a glass half filled with water
1937,Glass,material,Textile,product,made from material,Wipe the glass from the outside with a clean piece of cloth
1938,Fig (sculpture),sculpture,Glass,material,made from material,Observe the changes that take place on the outer sur face of the glass Fig
1939,Chapter 5 (Book of Mormon),literary work,Book of Mormon,religious text,part of,We noticed this process of condensation in Activity 7 in Chapter 5
1940,Earth,inner planet,Inner planet,inner planet,parent astronomical body,How does it happen As we go higher from the surface of the earth it gets cooler
1941,Cooler,thermodynamic process,Higher temperature,thermodynamic process,opposite of,When the air moves up it gets cooler and cooler
1942,Drop (liquid),UCUM derived unit,Water,None,part of,At suf ficient heights the air becomes so cool that the water vapour present in it condenses to form tiny drops of water called droplets
1943,Cloud,natural phenomenon,Atmosphere of Earth,atmosphere,made from material,It is these tiny droplets that remain floating in air and appear to us as clouds Fig
1944,Dew,precipitation,Water,None,subclass of,It so happens that many droplets of water come together to form larger sized Paheli has noticed dew on leaves of grass on winter mornings
1945,Metal sur face,facial feature,Grill,cookware and bakeware,part of,Did you notice something similar on leaves or metal sur faces like ir on grills and gates on a cold morning Is this also due to condensation Do you see this happening on hot summer mornings Fig
1946,Water,None,Cloud,natural phenomenon,part of,7 CloudsIce Water droplets 2022 23 141 WATER drops of water
1947,Drop,None,Water,None,part of,Some dr ops of water become so heavy that they begin to fall
1948,Ocean,body of water,Water,None,subclass of,4 B ACK TO THE OCEANS What happens to the water that rain and snow bring to different regions of earth Almost all land sur faces ar e above the level of oceans
1949,River,natural watercourse,Stream,natural watercourse,subclass of,This water flows down the mountains in the form of streams and rivers Fig
1950,River,natural watercourse,Lake,landform,mouth of the watercourse,However water of some rivers flows into lakes
1951,Soil,granular material,Ground,granular material,part of,A part of the rainwater gets absorbed by the ground and seems to disappear in the soil
1952,Evaporation,phase change,Transpiration,physical process,has effect,Some of this water is brought back to the air by the process of evaporation and transpiration
1953,Sour ce,Ground water,Ground water,land waters,subclass of,Ground water is the sour ce for many lakes as well
1954,Tubewell,water pump,Water pump,machine,subclass of,The more handpumps or tubewells that are used in an area the deeper we need to dig to find this ground water
1955,Lausanne,big city,Gr ound,river,located in or next to body of water,The loss in the level of gr ound water due to over use is worrisome
1956,Paheli,Norse deity,Norse mythology,mythology,worshipped by,Paheli wants to share a concern with you
1957,Rain,precipitation,Soil,granular material,has effect,Flowing rainwater also takes the top layer of the soil away with it
1959,Rain,precipitation,Seepage,transpiration,subclass of,This reduces the seepage of rainwater into the ground which ultimately affects the availability of gr ound water
1961,Condensation,phase change,Water vapor,None,has cause,He wonders if this is also condensation of water vapour near the ground
1963,Ocean,body of water,Water cycle,biogeochemical cycle,part of,9 Water cycleWe now know that water br ought back to the sur face of the earth by rain hail or snow goes back to oceans
1964,Atmosphere of Earth,atmosphere,Earth,inner planet,part of,Thus water fr om the ocean and surface of the earth goes into air as vapour returns as rain hail or snow and finally goes back to the ocean s
1965,Water cycle,biogeochemical cycle,Water,None,uses,The circulation of water in this manner is known as the water cycle Fig
1966,Ocean,body of water,Circulation,fluid flow,part of,This circulation of water between ocean and land is a continuous process
1967,Rain,precipitation,Season,time interval,part of,In some parts of the world it rains throughout the year while there are places where it rains only for a few days
1968,Monsoon,season,Season,time interval,subclass of,In our country most of the rainfall occurs during the monsoon season
1969,Summer,recurring event,Rain,precipitation,followed by,Rains bring relief especially after hot summer days
1971,Village,human settlement,Forest,biome,part of,The crop fields forests villages and cities may get submerged by water Fig
1972,Flood,natural disaster,Property damage,property loss,has effect,In our country floods cause extensive damage to crops domestic animals property and human life
1973,Flood,natural disaster,Animal migration,animal migration,has effect,During floods the animals living in the water also get carried away with the waters
1975,Rain,precipitation,Soil condition,None,has effect,Rains also affect the animals living in the soil
1976,Dry season,season,Rain,precipitation,opposite of,Since it is not being brought back by rain the soil becomes dry
1977,Ground water,land waters,Groundwater,land waters,subclass of,The ground water may also become scarce
1979,Fodder,animal feed,Animal feed,energy storage,subclass of,In drought conditions it is difficult to get food and fodder
1980,Newspaper,business,Magazine,organization,subclass of,Are you aware of the difficulties faced by the people living in these areas What happens to the animals and the vegetation in these conditions T ry and find out about this by talking to your parents and neighbours and by reading about it from newspapers and magazines
1981,Water,None,Earth,inner planet,part of,7 HOW CAN WE CONSER VE WATER Only a small fraction of water available on the Earth is fit for use of plants animals and humans
1982,Earth,inner planet,Water,None,made from material,The total amount of water on Earth remains the same but the water available for use is very limited and is decreasing with over usage
1983,A scene of a flooded area,science project,SCIENCE project,project,instance of,11 A scene of a flooded area 2022 23 144 SCIENCE Fig
1984,Rooftop rainwater harvesting,rainwater harvesting,Rainwater harvesting, harvesting,subclass of,13 Rooftop rainwater harvestingto shortage of water in many parts of the world
1985,Car,motor vehicle,Water,None,powered by,Hence it is very important that water is used car efully
1986,Rainwater,precipitation,Water,None,subclass of,8 R AINW ATER HARVESTING One way of increasing the availability of water is to collect rainwater and store it for later use
1987,Rainwater harvesting, harvesting,Rainwater,precipitation,uses,Collecting rainwater in this way is called rainwater harvesting
1988,Rainwater harvesting,rainforest,Rainforest,moist forest,subclass of,The basic idea behind rainwater harvesting is ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽCatch water where it fa
1990,Rainwater harvesting,rainforest,Rainwater,precipitation,subclass of,Here two techniques of rainwater harvesting are discussed 1
1991,Rooftop rainwater harvesting,rainwater harvesting,Rain,precipitation,uses,Rooftop rainwater harvesting In this system the rainwater is collected fromthe rooftop to a storage tank through pipes
1992,Ground water,land waters,Soil,granular material,part of,This then seeps into the soil to recharge or refill the ground water Fig
1993,Water,None,Water vapor,None,opposite of, b The process of changing water vapour into water is called 
1994,Rain,precipitation,Weathering,destruction,has effect, d Excessive rains may cause 
1995,Ironing,technique,Clothing,work,uses, b Steam rising from wet clothes while they are ironed
1996,Winter,recurring event,Morning,time of the day,subclass of, c Fog appearing on a cold winter morning
1997,Blackboard,painting material,Wiping,activity,use, d Blackboard dries up after wiping it
1998,Steam,fluid,Water,None,facet of, e Steam rising from a hot girdle when water is sprinkled on it
1999,Evaporation,phase change,Sunlight,light,has cause, d The evaporation of water takes place only in sunlight
2000,Water,None,Life,phenomenon,part of, square6Water is essential for life
2001,Transpiration,physical process,Evaporation,phase change,has effect, square6Water vapour gets added to air by evaporation and transpiration
2002,Hail,ice,Water droplets,None,subclass of,Many tiny water droplets come together and fall down as rain snow or hail
2003,Snow,precipitation,Water,None,subclass of, square6Rain hail and snow replenish water in rivers lakes ponds wells and soil
2004,Flood,natural disaster,Rain,precipitation,has cause, square6Excessive rains may cause floods while lack of it for long periods may cause droughts
2005,List thr ee activities in which you can save water,None,Water conservation,conservation,facet of,List thr ee activities in which you can save water
2006,Flood,natural disaster,Drought,condition,has cause,Collect pictures relating to floods or droughts from old magazines or newspapers
2007,Pencil,writing implement,Notebook,literary genre,use,Paste them in your notebook and write about the problems that people would have faced
2008,Notice board,poster,Poster,architectural structure,subclass of,Prepare a poster on ways of saving water and display it on your school notice board
2009,Save W,slogan,Slogan,phrase,instance of,Write a few slogans of your own on the topic ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽSave W a
2010,Interlinking of rivers,flood mitigation,Flood mitigation,engineering process,subclass of,Can the interlinking of rivers be a solution for mitigation of flood Discuss
2011,School uniform,uniform,Uniform,clothing,subclass of,Suppose you want to dry your school unifor m quickly
2012,Anghiti,heater,Heater,device,subclass of,W ould spr eading it near an anghiti or heater help If yes how 5
2014,Clothes line,clothing,Clothing,work,subclass of,Y ou notice it when the leaves of the trees rustle or the clothes hanging on a clothes line sway
2015,Page (book),part of a book,Book,document,part of,Pages of an open book begin fluttering when the fan is switched on
2016,Storm,wind,Wind,phenomenon,subclass of,You may have noticed that during storms the wind blows at a very high speed
2017,Firki,taxon,Ficus,taxon,parent taxon,Have you ever played with a firki Fig
2018,Firki rotation,rotation,Rotation,motion,instance of,Does the firki rotate What makes a firki rotate ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ moving air isnﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽt it Have you seen a weath
2019,Firki,fig,Fig (plant),taxon,subclass of,1 Different types of firki Fig
2020,Firki,figurine,Figurine,statue,subclass of,2 Making a simple firki Fig
2021,Firki,cocktail,Weather cock,cocktail,subclass of,3 A weather cock Activity 1 Let us make a firki of our own following the instructions shown in Fig
2022,Firki,stick,Stick,nonbiological component,subclass of,Hold the stick of the firki and place it in different directions in an open area
2023,Bottle emptying,None,Activity 2,None,part of,Activity 2 Take an empty open bottle
2024,Turn it upside down,"version, edition, or translation",Empty,literary genre,edition or translation of,Is it really empty or does it have something inside Turn it upside down
2025,Is something inside it now 2022 23148 SCIENCENow,None,Bottle,container,facet of,Is something inside it now 2022 23 148 SCIENCENow dip the open mouth of the bottle into the bucket filled with water as shown in Fig
2026,Observe the bottle,bottle,Bottle,container,subclass of,Observe the bottle
2028,ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽairﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ,cosmetics,Cosmetics,chemical substance,instance of,It is ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽairﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ that was present i
2029,Water,None,Bottle,container,part of,That is why you notice that water does not enter the bottle when it is pushed in an inverted position as there was no space for air to escape
2030,Bubble,bubble,Water,None,subclass of,When the bottle was tilted the air was able to come out in the form of bubbles and water filled up the empty space that the air has occupied
2031,Space,physical quantity,Atmosphere,gas,part of,This activity shows that air occupies space
2032,Air,None,Color,quality,different from,Air has no colour and one can see through it
2033,Atmosphere of Earth,atmosphere,Atmosphere,gas,part of,As we move higher in the atmosphere the air gets rar er
2034,4 Experiments with an empty bottle,experiment,Experiment,test,instance of,4 Experiments with an empty bottle Fig
2035,Mountaineering,climbing,Mountain,landform,uses,5 Mountaineers carry oxygen cylinders with them Now can you think mountaineers carry oxygen cylinders with them while climbing high mountains Fig
2036,2 W HAT,air,Air,None,subclass of,2 W HAT IS AIR MADE UP OF Until the eighteenth century people thought that air was just one substance
2038,Water,None,Condensation,phase change,part of,We also saw that when air comes in contact with a cool sur face it condenses and drops of water appear on the cooled sur faces
2039,Water cycle,biogeochemical cycle,Nature,phenomenon,part of,The pr esence of water vapour in air is important for the water cycle in nature
2040,Candle,goods,Air,None,made from material,However the other candle is getting continued supply of air
2041,Oxygen,chemical element,Atmosphere of Earth,atmosphere,part of,This component of air which supports burning is known as oxygen
2042,Nitrogen,chemical element,Active galactic nucleus,galaxy,part of,Nitrogen In Activity 3 did you observe that air is still present in the glass bottle even afterthe candle blew out This indicates the presence of some component in the air which does not support burning
2043,Nitrogen,chemical element,Atmosphere of Earth,atmosphere,part of,The major part of air which does not support burning candle is nitrogen
2044, suffocation,clinical sign,Combustion,redox,has cause,Carbon dioxide In a closed room if there is some material that is burning you may have felt suffocation
2045,Carbon dioxide,None,Atmosphere of Earth,atmosphere,part of,Carbon dioxide makes up a small component of the air around us
2046,Pollution,environmental issue,Leaf,plant organ,has parts of the class,It is advisable not to burn dry leaves and discarded remains of the crop which pollute our surroundings
2047,Dust and smoke,smoke,Smoke,aerosol,subclass of,Dust and smoke The burning of fuel also produces smoke
2048,Smoke,aerosol,Gas,fluid,has parts of the class,Smoke contains a few gases and fine dust particles and is often harmful
2049,Smoke,aerosol,Gas,fluid,subclass of,This takes the harmful smoke and gases away from our noses but brings it closer to the birds flying up in the sky Dust particles are always present in air
2050,Activity 4,None,School,architectural structure,part of,Activity 4 Find a sunny room in your school home
2051,Window,architectural element,Door,device,part of,Close all the doors and windows with curtains pulled down to make theFig
2052,Window,architectural element,Sunlight,light,use,Now open the door or a window facing the sun just a little in such a way that it allows sunlight to enter the room only through a slit
2053,Light,electromagnetic wave,Sunlight,light,part of,Look carefully at the incoming beam of sunlight
2054,Sunlight,light,Light,electromagnetic wave,instance of,Do you see some tiny shining particles moving in the beam of sunlight Fig
2055,What are these particles,None,Atmosphere of Earth,atmosphere,part of,7 What are these particles During winters you might have observed similar beam of sunlight filter through the trees in which dust particles appear to dance merrily around This shows that air also contains dust particles
2056,Atmosphere of Earth,atmosphere,Dust,natural building material,made from material,The presence of dust particles in air varies from time to time and from place to place
2058,Mucus,body fluids,Nose,animal organ,produced by,Fine hair and mucus are present inside the nose toPaheli wants to know why the transparent glass of windows if not wiped off regularly appears hazy Fig
2059,Atmosphere of Earth,atmosphere,Sunlight,light,part of,7 Observing presence of dust in air with sunlightFig
2060,Mask,clothing,Police officer,profession,worn by,8 Policemen regulating traffic at a crowded crossing often wear a mask Boojho wants to know why during an incident of fire one is advised to wrap a woollen blanket over a burning object
2061,Boojho,fictional human,Police officer,profession,occupation,Boojho is asking you why do you think the policeman in Fig
2062,Mask,protective face mask,Respiratory system,anatomical structure,use,8 is wearing a mask prevent dust particles from getting into the respiratory system
2063,Breathing,biological process,Mouth,animal organ,uses,Do you recall being scolded by your parents when you breathe through your mouth If you do that harmful dust particles may enter your body
2064,Bubble,fluid,Fluid,substance,subclass of,Do you see tiny bubbles on the inside Fig
2065,Animal living in water,animal,Dissolved oxygen,None,uses,W e lear nt in Chapters 8 and 9 that the animals living in water use the dissolved oxygen in water
2066,Bubble,fluid,Atmosphere,gas,part of,Do you see bubbles coming out from soil These bubbles indicate the presence of air in the soil
2067,Bubble,water vapor,Water,None,subclass of,When the water is poured on the lump of soil it displaces the air which is seen in the form of bubbles
2068,Airvariation,None,Atmosphere of Earth,atmosphere,facet of,10 Water contains airvariations in the composition of air from place to place
2069,Carbon dioxide,None,Water vapor,None,has parts of the class,The r emaining 1 is constituted by carbon dioxide and a few other gases and water vapour Fig
2070,T tripod,video camera,Camera,optical instrument,subclass of,Heat it slowly on a tripod stand
2071,Paheli,literary work,W ell befor e,human,author,W ell befor e the water begins to boil look car efully at the inner sur face Here is a question from Paheli ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽWill the tiny air bubbles seen before the water actually boils also appear if we do this activity by reheating boiled water kept in an air tight bottle ﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽﾃδεつｯ ﾃδづつｽ If you do not know the answer you may try doing it and see 
2072,Nitrogenoxygencarbon dioxide,None,Gas,fluid,instance of,Nitrogenoxygencarbon dioxide water vapour and other gases Fig
2073,Burrow,hole,Hole,depression,subclass of,9 Composition of air 2022 23 152 SCIENCEof burrows and holes are formed in deep soil by the animals living in the soil
2074,Atmosphere,gas,Soil,granular material,part of,These burrows also make spaces available for air to move in and out of the soil
2075,Animal,taxon,Respiration,biological process,uses,In this situation animals living in the soil have to come out for respiration
2076,Oxygen,chemical element,Atmosphere,gas,part of,Could this be the reason why earthworms come out of the soil only during heavy rains Have you ever wondered why all the oxygen of atmosphere does not get used up though a large number of organisms are consuming it Who is refilling the oxygen in the atmosphere 15
